eight gas infrared absorption band,,H2S,,CH4,,CO2,,CO,,NO,,CH2O,,NO2,,SO2,measured FTIR,,H2S,,CH4,,CO2,,CO,,NO,,CH2O,,NO2,,SO2
Figure 2c-up,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption
,8.99744,0,8.99744,0,8.99744,0,8.99744,0,8.99744,0,8.9991,0,8.99744,0,8.99744,0,Figure 2c_bottom,2.10012,0.12905,2.5013,0.11228,3.0007,0.05912,3.50115,0.11028,4.0009,0.08039,4.00093,0.00681,4.0009,0.1649,4.0009,0.00293
,8.99487,0,8.99487,0,8.99487,0,8.99487,0,8.99487,0,8.9964,0,8.99487,0,8.99487,0,,2.10097,0.12962,2.50251,0.11228,3.00243,0.05879,3.50352,0.1105,4.004,0.08071,4.00402,0.00685,4.004,0.16573,4.004,0.00283
,8.99231,0,8.99231,0,8.99231,0,8.99231,0,8.99231,0,8.9937,0,8.99231,0,8.99231,0,,2.10183,0.13021,2.50372,0.11228,3.00417,0.05981,3.50589,0.11073,4.0071,0.08101,4.00711,0.00693,4.0071,0.16654,4.0071,0.00274
,8.98975,0,8.98975,0,8.98975,0,8.98975,0,8.98975,0,8.99101,0,8.98975,0,8.98975,0,,2.10268,0.13075,2.50493,0.11228,3.00592,0.06116,3.50826,0.11095,4.0102,0.08132,4.01021,0.00707,4.0102,0.16732,4.0102,0.00266
,8.98719,0,8.98719,0,8.98719,0,8.98719,0,8.98719,0,8.98832,0,8.98719,0,8.98719,0,,2.10353,0.13118,2.50614,0.11228,3.00766,0.06162,3.51063,0.11113,4.0133,0.08162,4.01332,0.0073,4.0133,0.16807,4.0133,0.0026
,8.98464,0,8.98464,0,8.98464,0,8.98464,0,8.98464,0,8.98562,0,8.98464,0,8.98464,0,,2.10438,0.13144,2.50735,0.11228,3.0094,0.06117,3.51301,0.1113,4.0164,0.08192,4.01642,0.00756,4.0164,0.16879,4.0164,0.00256
,8.98208,0,8.98208,0,8.98208,0,8.98208,0,8.98208,0,8.98293,0,8.98208,0,8.98208,0,,2.10524,0.13149,2.50857,0.11228,3.01115,0.06099,3.51539,0.11151,4.0195,0.08222,4.01954,0.00777,4.0195,0.16949,4.0195,0.00252
,8.97953,0,8.97953,0,8.97953,0,8.97953,0,8.97953,0,8.98024,0,8.97953,0,8.97953,0,,2.10609,0.13135,2.50978,0.11216,3.0129,0.06149,3.51778,0.11174,4.0227,0.08254,4.02266,0.00791,4.0227,0.17015,4.0227,0.00249
,8.97697,0,8.97697,0,8.97697,0,8.97697,0,8.97697,0,8.97756,0,8.97697,0,8.97697,0,,2.10695,0.13113,2.51099,0.11196,3.01465,0.06204,3.52017,0.11195,4.0258,0.08286,4.02578,0.008,4.0258,0.17077,4.0258,0.00247
,8.97442,0,8.97442,0,8.97442,0,8.97442,0,8.97442,0,8.97487,0,8.97442,0,8.97442,0,,2.10781,0.131,2.51221,0.11168,3.01641,0.06292,3.52256,0.11215,4.0289,0.08318,4.02891,0.00807,4.0289,0.17134,4.0289,0.00247
,8.97187,0,8.97187,0,8.97187,0,8.97187,0,8.97187,0,8.97219,0,8.97187,0,8.97187,0,,2.10866,0.13101,2.51343,0.11137,3.01816,0.06442,3.52495,0.11234,4.032,0.08351,4.03204,0.00815,4.032,0.17186,4.032,0.00247
