,time£¨s£©,temperature£¨K£©
,0,293.15079
Figure 3d,0.01,293.18875
,0.02,293.22204
,0.03,293.25467
,0.04,293.28845
,0.05,293.32229
,0.06,293.35563
,0.07,293.38878
,0.08,293.42184
,0.09,293.4547
,0.1,293.48724
,0.11,293.51948
,0.12,293.55141
,0.13,293.58299
,0.14,293.6142
,0.15,293.64503
,0.16,293.67548
,0.17,293.70554
,0.18,293.7352
,0.19,293.76446
,0.2,293.79332
,0.21,293.82178
,0.22,293.84984
,0.23,293.8775
,0.24,293.90476
,0.25,293.93163
,0.26,293.9581
,0.27,293.98419
,0.28,294.0099
,0.29,294.03522
,0.3,294.06017
,0.31,294.08475
,0.32,294.10896
,0.33,294.13281
,0.34,294.1563
,0.35,294.17944
,0.36,294.20223
,0.37,294.22468
,0.38,294.24679
,0.39,294.26856
,0.4,294.29001
,0.41,294.31113
,0.42,294.33194
,0.43,294.35243
,0.44,294.37261
,0.45,294.39248
,0.46,294.41206
,0.47,294.43133
,0.48,294.45032
,0.49,294.46902
,0.5,294.48743
,0.51,294.50556
,0.52,294.52342
,0.53,294.54101
,0.54,294.55833
,0.55,294.57539
,0.56,294.59219
,0.57,294.60873
,0.58,294.62503
,0.59,294.64108
,0.6,294.65688
,0.61,294.67244
,0.62,294.68777
,0.63,294.70286
,0.64,294.71773
,0.65,294.73237
,0.66,294.74678
,0.67,294.76098
,0.68,294.77497
,0.69,294.78874
,0.7,294.8023
,0.71,294.81565
,0.72,294.82881
,0.73,294.84176
,0.74,294.85452
,0.75,294.86708
,0.76,294.87945
,0.77,294.89164
,0.78,294.90363
,0.79,294.91545
,0.8,294.92709
,0.81,294.93855
,0.82,294.94984
,0.83,294.96095
,0.84,294.9719
,0.85,294.98268
,0.86,294.9933
,0.87,295.00375
,0.88,295.01405
,0.89,295.02419
,0.9,295.03418
,0.91,295.04401
,0.92,295.0537
,0.93,295.06324
,0.94,295.07263
,0.95,295.08188
,0.96,295.09099
,0.97,295.09997
,0.98,295.1088
,0.99,295.1175
,1,295.12607
,1.01,295.13451
,1.02,295.14283
,1.03,295.15101
,1.04,295.15907
,1.05,295.16701
,1.06,295.17483
,1.07,295.18253
,1.08,295.19011
,1.09,295.19758
,1.1,295.20493
,1.11,295.21218
,1.12,295.21931
,1.13,295.22633
,1.14,295.23325
,1.15,295.24006
,1.16,295.24677
,1.17,295.25338
,1.18,295.25989
,1.19,295.2663
,1.2,295.27261
,1.21,295.27882
,1.22,295.28494
,1.23,295.29097
,1.24,295.29691
,1.25,295.30275
,1.26,295.30851
,1.27,295.31418
,1.28,295.31977
,1.29,295.32526
,1.3,295.33068
,1.31,295.33601
,1.32,295.34127
,1.33,295.34644
,1.34,295.35153
,1.35,295.35655
,1.36,295.36149
,1.37,295.36636
,1.38,295.37115
,1.39,295.37587
,1.4,295.38051
,1.41,295.38509
,1.42,295.3896
,1.43,295.39404
,1.44,295.39841
,1.45,295.40271
,1.46,295.40695
,1.47,295.41113
,1.48,295.41524
,1.49,295.41929
,1.5,295.42328
,1.51,295.42721
,1.52,295.43107
,1.53,295.43488
,1.54,295.43863
,1.55,295.44233
,1.56,295.44597
,1.57,295.44955
,1.58,295.45308
,1.59,295.45655
,1.6,295.45998
,1.61,295.46335
,1.62,295.46667
,1.63,295.46994
,1.64,295.47315
,1.65,295.47632
,1.66,295.47945
,1.67,295.48252
,1.68,295.48555
,1.69,295.48853
