,wavelength(um),voltage response ,,wavelength£¨um£©,IR absorption spectrum
Figure 4a,6.06061,0.11136,,3.0007,0.0603
,6.03586,0.09795,,3.0024,0.06076
,6.01132,0.09474,,3.0042,0.06098
,5.98697,0.1018,,3.0059,0.06086
,5.96282,0.10861,,3.0077,0.06106
,5.93886,0.12631,,3.0094,0.06173
,5.9151,0.11042,,3.0112,0.0623
,5.89153,0.11651,,3.0129,0.06246
,5.86814,0.12472,,3.0147,0.06234
,5.84494,0.13143,,3.0164,0.06234
,5.82192,0.15034,,3.0182,0.06278
,5.79908,0.1508,,3.0199,0.06331
,5.77642,0.15615,,3.0217,0.06343
,5.75393,0.17591,,3.0234,0.06341
,5.73163,0.17725,,3.0252,0.06389
,5.70949,0.17985,,3.027,0.0647
,5.68752,0.20409,,3.0287,0.06525
,5.66572,0.22108,,3.0305,0.0656
,5.64409,0.21458,,3.0323,0.06591
,5.62262,0.23017,,3.0341,0.06604
,5.60132,0.2635,,3.0358,0.06628
,5.58017,0.27267,,3.0376,0.06698
,5.55919,0.26955,,3.0394,0.06801
,5.53836,0.28414,,3.0412,0.06885
,5.51769,0.30332,,3.043,0.06926
,5.49717,0.3263,,3.0447,0.06941
,5.4768,0.30398,,3.0465,0.06971
,5.45659,0.2827,,3.0483,0.07027
,5.43652,0.29001,,3.0501,0.07078
,5.4166,0.29012,,3.0519,0.0712
,5.39683,0.31269,,3.0537,0.07166
,5.37719,0.30619,,3.0555,0.07169
,5.35771,0.2802,,3.0573,0.07129
,5.33836,0.23558,,3.0591,0.07144
,5.31915,0.20838,,3.0609,0.07245
,,,,3.0627,0.07348
,,,,3.0645,0.07385
,,,,3.0664,0.07376
,,,,3.0682,0.07348
,,,,3.07,0.07318
,,,,3.0718,0.07336
,,,,3.0736,0.07387
,,,,3.0754,0.07379
,,,,3.0773,0.07316
,,,,3.0791,0.07301
,,,,3.0809,0.07371
,,,,3.0828,0.0742
,,,,3.0846,0.07394
,,,,3.0864,0.07386
,,,,3.0883,0.07427
,,,,3.0901,0.07435
,,,,3.092,0.07386
,,,,3.0938,0.07339
,,,,3.0956,0.07337
,,,,3.0975,0.07348
,,,,3.0993,0.07336
,,,,3.1012,0.07337
,,,,3.1031,0.07349
,,,,3.1049,0.07318
,,,,3.1068,0.07294
,,,,3.1086,0.07353
,,,,3.1105,0.07432
,,,,3.1124,0.07459
,,,,3.1142,0.07465
,,,,3.1161,0.07464
,,,,3.118,0.07451
,,,,3.1199,0.07437
,,,,3.1217,0.07409
,,,,3.1236,0.0736
,,,,3.1255,0.07321
,,,,3.1274,0.07308
,,,,3.1293,0.07333
,,,,3.1312,0.07385
,,,,3.1331,0.07424
,,,,3.1349,0.07439
,,,,3.1368,0.07435
,,,,3.1387,0.07408
,,,,3.1406,0.07367
,,,,3.1425,0.07353
,,,,3.1445,0.07377
,,,,3.1464,0.07411
,,,,3.1483,0.07418
,,,,3.1502,0.07408
,,,,3.1521,0.07418
,,,,3.154,0.07428
,,,,3.1559,0.07403
,,,,3.1579,0.07371
,,,,3.1598,0.0736
,,,,3.1617,0.07346
,,,,3.1636,0.07318
,,,,3.1656,0.07295
,,,,3.1675,0.07281
,,,,3.1694,0.0727
,,,,3.1714,0.07273
,,,,3.1733,0.07297
,,,,3.1753,0.07333
,,,,3.1772,0.0738
,,,,3.1792,0.07418
,,,,3.1811,0.07415
,,,,3.1831,0.07377
,,,,3.185,0.07355
,,,,3.187,0.07396
,,,,3.1889,0.07475
,,,,3.1909,0.075
,,,,3.1929,0.07445
,,,,3.1948,0.07388
,,,,3.1968,0.07388
,,,,3.1988,0.07427
,,,,3.2007,0.07462
,,,,3.2027,0.07471
,,,,3.2047,0.07464
,,,,3.2067,0.07471
,,,,3.2087,0.07489
,,,,3.2107,0.07498
,,,,3.2126,0.07514
,,,,3.2146,0.0754
,,,,3.2166,0.07563
,,,,3.2186,0.07599
,,,,3.2206,0.0764
,,,,3.2226,0.07654
,,,,3.2246,0.07637
,,,,3.2266,0.07624
,,,,3.2286,0.07641
,,,,3.2307,0.07666
,,,,3.2327,0.07675
,,,,3.2347,0.07679
,,,,3.2367,0.07697
,,,,3.2387,0.07725
,,,,3.2408,0.07739
,,,,3.2428,0.07737
,,,,3.2448,0.07751
,,,,3.2468,0.07781
,,,,3.2489,0.07814
,,,,3.2509,0.07855
,,,,3.253,0.07889
,,,,3.255,0.07897
,,,,3.257,0.07884
,,,,3.2591,0.07894
,,,,3.2611,0.07962
,,,,3.2632,0.08045
,,,,3.2652,0.08077
,,,,3.2673,0.08066
,,,,3.2694,0.08083
,,,,3.2714,0.08154
,,,,3.2735,0.08222
,,,,3.2756,0.08242
,,,,3.2776,0.08244
,,,,3.2797,0.08267
,,,,3.2818,0.08302
,,,,3.2839,0.08338
,,,,3.2859,0.08385
,,,,3.288,0.08435
,,,,3.2901,0.08486
,,,,3.2922,0.0855
,,,,3.2943,0.08623
,,,,3.2964,0.0869
,,,,3.2985,0.08731
,,,,3.3006,0.08739
,,,,3.3027,0.08738
,,,,3.3048,0.08756
,,,,3.3069,0.08806
,,,,3.309,0.08862
,,,,3.3111,0.08886
,,,,3.3132,0.08916
,,,,3.3153,0.08983
,,,,3.3175,0.09043
,,,,3.3196,0.09078
,,,,3.3217,0.09113
,,,,3.3238,0.09158
,,,,3.326,0.0921
,,,,3.3281,0.09258
,,,,3.3303,0.09292
,,,,3.3324,0.09342
,,,,3.3345,0.09419
,,,,3.3367,0.09503
,,,,3.3388,0.09556
,,,,3.341,0.09577
,,,,3.3431,0.09609
,,,,3.3453,0.09674
,,,,3.3475,0.09731
,,,,3.3496,0.09753
,,,,3.3518,0.09781
,,,,3.3539,0.09853
,,,,3.3561,0.0993
,,,,3.3583,0.0997
,,,,3.3605,0.10001
,,,,3.3626,0.10045
,,,,3.3648,0.10091
,,,,3.367,0.10153
,,,,3.3692,0.10212
,,,,3.3714,0.10254
,,,,3.3736,0.10315
,,,,3.3758,0.10389
,,,,3.378,0.10426
,,,,3.3802,0.10455
,,,,3.3824,0.10523
,,,,3.3846,0.10611
,,,,3.3868,0.10688
,,,,3.389,0.10745
,,,,3.3912,0.108
,,,,3.3935,0.1086
,,,,3.3957,0.10915
,,,,3.3979,0.10964
,,,,3.4001,0.11011
,,,,3.4024,0.11078
,,,,3.4046,0.11167
,,,,3.4068,0.11246
,,,,3.4091,0.11321
,,,,3.4113,0.11381
,,,,3.4136,0.11407
,,,,3.4158,0.11446
,,,,3.4181,0.11517
,,,,3.4203,0.11587
,,,,3.4226,0.11662
,,,,3.4248,0.11749
,,,,3.4271,0.11837
,,,,3.4294,0.1192
,,,,3.4316,0.12004
,,,,3.4339,0.12085
,,,,3.4362,0.12141
,,,,3.4385,0.12181
,,,,3.4407,0.12243
,,,,3.443,0.12319
,,,,3.4453,0.12383
,,,,3.4476,0.12443
,,,,3.4499,0.12526
,,,,3.4522,0.12622
,,,,3.4545,0.12693
,,,,3.4568,0.12728
,,,,3.4591,0.12768
,,,,3.4614,0.12838
,,,,3.4637,0.12905
,,,,3.466,0.12942
,,,,3.4684,0.12972
,,,,3.4707,0.13018
,,,,3.473,0.13075
,,,,3.4753,0.13135
,,,,3.4777,0.13186
,,,,3.48,0.13232
,,,,3.4823,0.13274
,,,,3.4847,0.13293
,,,,3.487,0.13306
,,,,3.4894,0.13332
,,,,3.4917,0.13351
,,,,3.4941,0.13356
,,,,3.4964,0.13358
,,,,3.4988,0.13353
,,,,3.5012,0.13333
,,,,3.5035,0.13312
,,,,3.5059,0.13316
,,,,3.5083,0.13342
,,,,3.5106,0.13372
,,,,3.513,0.13393
,,,,3.5154,0.13403
,,,,3.5178,0.1341
,,,,3.5202,0.13426
