,chopper frequency£¨HZ£©,Vout(V),,inset,time£¨s£©,Vout(V)
,4,0.36215,,,7.00E-05,0.32
Figure 4b,5,0.32268,,,1.50E-04,0.32
,6,0.28407,,,2.30E-04,0.32
,8,0.22445,,,3.10E-04,0.32
,10,0.18475,,,3.90E-04,0.32
,12,0.16569,,,4.70E-04,0.32
,14,0.14453,,,5.50E-04,0.32
,16,0.13631,,,6.30E-04,0.32
,18,0.12363,,,7.10E-04,0.3232
,20,0.10966,,,7.90E-04,0.3232
,,,,,8.70E-04,0.3232
,,,,,9.50E-04,0.3232
,,,,,0.00103,0.3232
,,,,,0.00111,0.3232
,,,,,0.00119,0.3232
,,,,,0.00127,0.3232
,,,,,0.00135,0.3232
,,,,,0.00143,0.3232
,,,,,0.00151,0.3232
,,,,,0.00159,0.3232
,,,,,0.00167,0.3232
,,,,,0.00175,0.3232
,,,,,0.00183,0.3232
,,,,,0.00191,0.3232
,,,,,0.00199,0.3232
,,,,,0.00207,0.3264
,,,,,0.00215,0.3264
,,,,,0.00223,0.3264
,,,,,0.00231,0.3264
,,,,,0.00239,0.3264
,,,,,0.00247,0.3264
,,,,,0.00255,0.3264
,,,,,0.00263,0.3264
,,,,,0.00271,0.3264
,,,,,0.00279,0.3264
,,,,,0.00287,0.3264
,,,,,0.00295,0.3264
,,,,,0.00303,0.3264
,,,,,0.00311,0.3264
,,,,,0.00319,0.3264
,,,,,0.00327,0.3264
,,,,,0.00335,0.3264
,,,,,0.00343,0.3264
,,,,,0.00351,0.3264
,,,,,0.00359,0.3264
,,,,,0.00367,0.3264
,,,,,0.00375,0.3264
,,,,,0.00383,0.3264
,,,,,0.00391,0.3264
,,,,,0.00399,0.3264
,,,,,0.00407,0.3296
,,,,,0.00415,0.3296
,,,,,0.00423,0.3296
,,,,,0.00431,0.3296
,,,,,0.00439,0.3296
,,,,,0.00447,0.3296
,,,,,0.00455,0.3296
,,,,,0.00463,0.3296
,,,,,0.00471,0.3296
,,,,,0.00479,0.3296
,,,,,0.00487,0.3296
,,,,,0.00495,0.3296
,,,,,0.00503,0.3296
,,,,,0.00511,0.3296
,,,,,0.00519,0.3296
,,,,,0.00527,0.3296
,,,,,0.00535,0.3296
,,,,,0.00543,0.3296
,,,,,0.00551,0.3296
,,,,,0.00559,0.3296
,,,,,0.00567,0.3296
,,,,,0.00575,0.3296
,,,,,0.00583,0.3296
,,,,,0.00591,0.3296
,,,,,0.00599,0.3296
,,,,,0.00607,0.3296
,,,,,0.00615,0.3296
,,,,,0.00623,0.3296
,,,,,0.00631,0.3296
,,,,,0.00639,0.3296
,,,,,0.00647,0.3296
,,,,,0.00655,0.3296
,,,,,0.00663,0.3296
,,,,,0.00671,0.3296
,,,,,0.00679,0.3296
,,,,,0.00687,0.3296
,,,,,0.00695,0.3296
,,,,,0.00703,0.3296
,,,,,0.00711,0.3296
,,,,,0.00719,0.3296
,,,,,0.00727,0.3296
,,,,,0.00735,0.3296
,,,,,0.00743,0.3296
,,,,,0.00751,0.3296
,,,,,0.00759,0.3296
,,,,,0.00767,0.3296
,,,,,0.00775,0.3296
,,,,,0.00783,0.3296
,,,,,0.00791,0.3296
,,,,,0.00799,0.3296
,,,,,0.00807,0.3296
,,,,,0.00815,0.3328
,,,,,0.00823,0.3328
,,,,,0.00831,0.3328
,,,,,0.00839,0.3328
,,,,,0.00847,0.3328
,,,,,0.00855,0.3328
,,,,,0.00863,0.3328
,,,,,0.00871,0.3328
,,,,,0.00879,0.3328
,,,,,0.00887,0.3328
,,,,,0.00895,0.3328
,,,,,0.00903,0.3328
,,,,,0.00911,0.3328
,,,,,0.00919,0.3328
,,,,,0.00927,0.3328
,,,,,0.00935,0.3328
,,,,,0.00943,0.3328
,,,,,0.00951,0.3328
,,,,,0.00959,0.3328
,,,,,0.00967,0.3328
,,,,,0.00975,0.3328
,,,,,0.00983,0.3328
,,,,,0.00991,0.3328
,,,,,0.00999,0.3328
,,,,,0.01007,0.3328
,,,,,0.01015,0.3328
,,,,,0.01023,0.3328
,,,,,0.01031,0.3328
,,,,,0.01039,0.3328
,,,,,0.01047,0.3328
,,,,,0.01055,0.3328
,,,,,0.01063,0.3328
,,,,,0.01071,0.3328
,,,,,0.01079,0.3328
,,,,,0.01087,0.3328
,,,,,0.01095,0.3328
,,,,,0.01103,0.3328
,,,,,0.01111,0.3328
,,,,,0.01119,0.3328
,,,,,0.01127,0.3328
,,,,,0.01135,0.3328
,,,,,0.01143,0.3328
,,,,,0.01151,0.3328
,,,,,0.01159,0.3328
,,,,,0.01167,0.3328
