,gas concontration(PPM),measurement data ¡÷V/V0,fitting data ¡÷V/V0
Figure 6b,0,0,0
Detector I,1000,-1.77E-01,-0.07074
"Fixed SO2, changed CO",3000,-0.2203,-0.13067
,5000,-0.22553,-0.17716
,10000,-0.25721,-0.25343
,12500,-0.2919,-0.27719
,,,
,,,
,gas concontration(PPM),measurement data ¡÷V/V0,fitting data ¡÷V/V0
Figure 6b,0,0,0
Detector I,1000,-1.78E-01,-0.1934
"Fixed CO, changed SO2",3000,-0.20532,-0.20297
,5000,-0.23335,-0.21141
,10000,-0.2379,-0.23024
,12500,-0.25244,-0.23892
,,,
,,,
,gas concontration(PPM),measurement data ¡÷V/V0,fitting data ¡÷V/V0
Figure 6b,0,0,0
Detector II,1000,-1.86E-01,-0.18019
"Fixed SO2, changed CO",3000,-0.20366,-0.19061
,5000,-0.21183,-0.19992
,10000,-0.21556,-0.22093
,12500,-0.20499,-0.23067
,,,
,,,
,gas concontration(PPM),measurement data ¡÷V/V0,fitting data ¡÷V/V0
Figure 6b,0,0,0
Detector II,1000,-3.65E-02,-0.08778
"Fixed CO, changed SO2",3000,-0.07763,-0.14576
,5000,-0.16414,-0.18182
,10000,-0.23291,-0.22913
,12500,-0.26633,-0.24119
